n_pct,freshwt,drywt,nwt
0.996948635,5.10291057,3.532071639,-0.076149912
0.88376754,5.120983351,3.693106047,-0.028296599
0.978326123,5.444147815,3.839829906,0.212985842
0.982078472,5.441984716,3.750207153,0.12711544
1.166270937,3.481240089,1.92136602,-1.517533229
1.211940974,3.487375078,2.021003776,-1.372225436
1.217875709,3.572345638,2.069507335,-1.317787141
1.280933845,3.561046083,2.054571213,-1.269665128
0.270027137,4.81866736,3.482444629,-0.85269842
0.2390169,4.816241156,3.560798993,-0.805354292
0.444685821,4.519612298,3.277453118,-0.883031247
0.405465108,4.533674184,3.274212767,-0.925492311
0.524728529,4.531523646,3.198554291,-0.881887366
0.565313809,4.511957804,3.091845188,-0.948011189
0.576613364,4.15575319,2.706232813,-1.322324009
0.570979547,4.141546164,2.760212132,-1.273978508
0.88376754,4.505349851,2.830725208,-0.890677438
1.011600912,4.508659286,2.771185392,-0.822383882
1.004301609,4.24563401,2.497125689,-1.103742888
0.982078472,4.251348311,2.51872462,-1.104367093
1.064710737,3.956996371,2.257232124,-1.283227325
1.01884732,3.956996371,2.197256243,-1.389066623
1.10856262,3.543853682,1.783278104,-1.713329463
1.068153081,3.555348061,1.838850917,-1.698166188
1.036736885,3.446807893,1.648904049,-1.919529252
1.172482137,3.46885603,1.691528366,-1.741159683
1.137833002,3.634951112,1.952931384,-1.5144058
1.128171091,3.632309103,1.866862822,-1.610136274
0.270027137,5.799092654,4.29482529,-0.040317759
0.09531018,5.814130532,4.30446958,-0.205390426
0.300104592,5.780743516,4.216854686,-0.088210908
0.246860078,5.777652323,4.253531296,-0.104778812
0.371563556,4.872139217,3.56148806,-0.67211857
0.277631737,4.870606649,3.563500446,-0.764038003
0.2390169,4.931592087,3.532816377,-0.833336909
0.31481074,4.932313327,3.508954281,-0.781405165
0.955511445,5.39180771,3.576910631,-0.07274811
0.97455964,5.394536224,3.688309624,0.057699078
1.223775432,5.664348405,3.656804362,0.275409608
1.313723668,5.668155297,3.699653587,0.408207069
0.746687947,4.885072071,3.18772081,-0.670761429
0.717839793,4.883559212,3.177811273,-0.709519119
0.891998039,4.984975547,3.250856542,-0.462315605
0.845868268,4.984975547,3.300998786,-0.458303132
0.277631737,6.276643489,4.616475211,0.288936761
0.357674444,6.276643489,4.588695916,0.341200175
0.207014169,6.255750042,4.556715709,0.158559693
0.277631737,6.255750042,4.52472315,0.197184701
